# Zones

## General
PlayerInitRequestHandler.LevelCap:			            You have exceeded the level cap of this battleground!
Zone.ScreenDescription.SilvermineMts.:				Silvermine Mts.
Zone.Description.ValleyofBriLeith:					Valley of Bri Leith
Zone.ScreenDescription.ValleyofBriLeith:			Valley of Bri Leith

### Dungeons
Zone.Description.CoruscatingMine:					Coruscating Mine
Zone.ScreenDescription.CoruscatingMine:				Coruscating Mine
Zone.Description.Fomor:								Fomor
Zone.ScreenDescription.Fomor:						Fomor
Zone.Description.Galladoria:						Galladoria
Zone.ScreenDescription.Galladoria:					Galladoria
Zone.Description.KoalinthCaverns:					Koalinth Caverns
Zone.ScreenDescription.KoalinthCaverns:				Koalinth Caverns
Zone.Description.MuireTomb:							Muire Tomb
Zone.ScreenDescription.MuireTomb:					Muire Tomb
Zone.Description.SpraggonDen:						Spraggon Den
Zone.ScreenDescription.SpraggonDen:					Spraggon Den
Zone.Description.TreibhCaillte:						Treibh Caillte
Zone.ScreenDescription.TreibhCaillte:				Treibh Caillte
Zone.Description.TurSuil:							Tur Suil
Zone.ScreenDescription.TurSuil:						Tur Suil

### Frontier
Zone.Description.Breifine:							Breifine
Zone.ScreenDescription.Breifine:					    Breifine
Zone.Description.CruachanGorge:						Cruachan Gorge
Zone.ScreenDescription.CruachanGorge:				Cruachan Gorge
Zone.Description.EmainMacha:						Emain Macha
Zone.ScreenDescription.EmainMacha:					Emain Macha
Zone.Description.MountCollory:						Mount Collory
Zone.ScreenDescription.MountCollory:				Mount Collory

### Housing
Zone.Description.Aberillan:							Aberillan
Zone.ScreenDescription.Aberillan:					Aberillan
Zone.Description.Broughshane:						Broughshane
Zone.ScreenDescription.Broughshane:					Broughshane
Zone.Description.Dunshire:							Dunshire
Zone.ScreenDescription.Dunshire:					Dunshire
Zone.Description.Kilcullen:							Kilcullen
Zone.ScreenDescription.Kilcullen:					Kilcullen
Zone.Description.Meath:								Meath
Zone.ScreenDescription.Meath:						Meath
Zone.Description.Moycullen:							Moycullen
Zone.ScreenDescription.Moycullen:					Moycullen
Zone.Description.Saeranthal:						Saeranthal
Zone.ScreenDescription.Saeranthal:					Saeranthal
Zone.Description.Torrylin:							Torrylin
Zone.ScreenDescription.Torrylin:					Torrylin
Zone.Description.Tullamore:							Tullamore
Zone.ScreenDescription.Tullamore:					Tullamore

### Shrouded Isles
Zone.Description.AlltaFearann:						Allta Fearann
Zone.ScreenDescription.AlltaFearann:				Allta Fearann
Zone.Description.CaillteGarran:						Caillte Garran
Zone.ScreenDescription.CaillteGarran:				Caillte Garran
Zone.Description.CothromGorge:						Cothrom Gorge
Zone.ScreenDescription.CothromGorge:				Cothrom Gorge
Zone.Description.Domnann:							Domnann
Zone.ScreenDescription.Domnann:						Domnann
Zone.Description.ValeofBalor:						Vale of Balor
Zone.ScreenDescription.ValeofBalor:					Vale of Balor
Zone.Description.VigilantRock:						Vigilant Rock
Zone.ScreenDescription.VigilantRock:				Vigilant Rock
Zone.Description.World'sEnd:						World's End
Zone.ScreenDescription.World'sEnd:					World's End

## Midgard
### Capital
Zone.Description.Jordheim:							Jordheim
Zone.ScreenDescription.Jordheim:					Jordheim

### Classic
Zone.Description.EastSvealand:						East Svealand
Zone.ScreenDescription.EastSvealand:				East Svealand
Zone.Description.Gotar:								Gotar
Zone.ScreenDescription.Gotar:						Gotar
Zone.Description.Malmohus:							Malmohus
Zone.ScreenDescription.Malmohus:					Malmohus
Zone.Description.Muspelheim:						Muspelheim
Zone.ScreenDescription.Muspelheim:					Muspelheim
Zone.Description.MyrkwoodForest:					Myrkwood Forest
Zone.ScreenDescription.MyrkwoodForest:				Myrkwood Forest
Zone.Description.Raumarik:							Raumarik
Zone.ScreenDescription.Raumarik:					Raumarik
Zone.Description.SkonaRavine:						Skona Ravine
Zone.ScreenDescription.SkonaRavine:					Skona Ravine
Zone.Description.ValeofMularn:						Vale of Mularn
Zone.ScreenDescription.ValeofMularn:				Vale of Mularn
Zone.Description.VanernSwamp:						Vanern Swamp
Zone.ScreenDescription.VanernSwamp:					Vanern Swamp
Zone.Description.WestSvealand:						West Svealand
Zone.ScreenDescription.WestSvealand:				West Svealand

### Dungeons
Zone.Description.CursedTomb:						Cursed Tomb
Zone.ScreenDescription.CursedTomb					Cursed Tomb
Zone.Description.Iarnvidiur'sLair:					Iarnvidiur's Lair
Zone.ScreenDescription.Iarnvidiur'sLair:			Iarnvidiur's Lair
Zone.Description.Nisse'sLair:						Nisse's Lair
Zone.ScreenDescription.Nisse'sLair:					Nisse's Lair
Zone.Description.Trollheim:							Trollheim
Zone.ScreenDescription.Trollheim:					Trollheim
Zone.Description.Spindelhalla:						Spindelhalla
Zone.ScreenDescription.Spindelhalla:				Spindelhalla
Zone.Description.TuscaranGlacier:					Tuscaran Glacier
Zone.ScreenDescription.TuscaranGlacier:				Tuscaran Glacier
Zone.Description.Varulvhamn:						Varulvhamn
Zone.ScreenDescription.Varulvhamn:					Varulvhamn
Zone.Description.VendoCaverns:						Vendo Caverns
Zone.ScreenDescription.VendoCaverns:				Vendo Caverns

### Frontier
Zone.Description.JamtlandMountains:					Jamtland Mountains
Zone.ScreenDescription.JamtlandMountains:			Jamtland Mountains
Zone.Description.Odin'sGate:						Odin's Gate
Zone.ScreenDescription.Odin'sGate:					Odin's Gate
Zone.Description.Uppland:							Uppland
Zone.ScreenDescription.Uppland:						Uppland
Zone.Description.YggdraForest:						Yggdra Forest
Zone.ScreenDescription.YggdraForest:				Yggdra Forest

### Housing
Zone.Description.Arothi:							Arothi
Zone.ScreenDescription.Arothi:						Arothi
Zone.Description.Carlingford:						Carlingford
Zone.ScreenDescription.Carlingford:					Carlingford
Zone.Description.Erikstaad:							Erikstaad
Zone.ScreenDescription.Erikstaad:					Erikstaad
Zone.Description.Frisia:							Frisia
Zone.ScreenDescription.Frisia:						Frisia
Zone.Description.Holmestrand:						Holmestrand
Zone.ScreenDescription.Holmestrand:					Holmestrand
Zone.Description.Kaupang:							Kaupang
Zone.ScreenDescription.Kaupang:						Kaupang
Zone.Description.Nittedal:							Nittedal
Zone.ScreenDescription.Nittedal:					Nittedal
Zone.Description.Stavgaard:							Stavgaard
Zone.ScreenDescription.Stavgaard:					Stavgaard
Zone.Description.Wyndham:							Wyndham
Zone.ScreenDescription.Wyndham:						Wyndham

### Shrouded Isles
Zone.Description.Aegir'sLanding:					Aegir's Landing
Zone.ScreenDescription.Aegir'sLanding:				Aegir's Landing
Zone.Description.DellingCrater:						Delling Crater
Zone.ScreenDescription.DellingCrater:				Delling Crater
Zone.Description.Faraheim:							Faraheim
Zone.ScreenDescription.Faraheim:					Faraheim
Zone.Description.GripklosaMountains:				Gripklosa Mountains
Zone.ScreenDescription.GripklosaMountains:			Gripklosa Mountains
Zone.Description.Iarnwood:							Iarnwood
Zone.ScreenDescription.Iarnwood:					Iarnwood
Zone.Description.Modernagrav:						Modernagrav
Zone.ScreenDescription.Modernagrav:					Modernagrav
Zone.Description.MuninSound:						Munin Sound
Zone.ScreenDescription.MuninSound:					Munin Sound

## Other Zones
### Catacombs
Zone.Description.Albion'sAbandonedMines:			Abandoned Mines
Zone.ScreenDescription.Albion'sAbandonedMines:		Abandoned Mines
Zone.Description.Hibernia'sAbandonedMines:			Abandoned Mines
Zone.ScreenDescription.Hibernia'sAbandonedMines:	Abandoned Mines
Zone.Description.Midgard'sAbandonedMines:			Abandoned Mines
Zone.ScreenDescription.Midgard'sAbandonedMines:		Abandoned Mines
Zone.Description.Arachnid'sLabyrinth:				Arachnid's Labyrinth
Zone.ScreenDescription.Arachnid'sLabyrinth:			Arachnid's Labyrinth
Zone.Description.Blathnait'sRefuge:					Blathnait's Refuge
Zone.ScreenDescription.Blathnait'sRefuge:			Blathnait's Refuge
Zone.Description.BrokenMirrors:						Broken Mirrors
Zone.ScreenDescription.BrokenMirrors:				Broken Mirrors
Zone.Description.BurialGrounds:						Burial Grounds
Zone.ScreenDescription.BurialGrounds:				Burial Grounds
Zone.Description.BurialTomb:						Burial Tomb
Zone.ScreenDescription.BurialTomb:					Burial Tomb
Zone.Description.CavernsofMadness:					Caverns of Madness
Zone.ScreenDescription.CavernsofMadness:			Caverns of Madness
Zone.Description.ConcealedGuardhouse:				Concealed Guardhouse
Zone.ScreenDescription.ConcealedGuardhouse:			Concealed Guardhouse
Zone.Description.DampCavern:						Damp Cavern
Zone.ScreenDescription.DampCavern:					Damp Cavern
Zone.Description.DarkCavern:						Dark Cavern
Zone.ScreenDescription.DarkCavern:					Dark Cavern
Zone.Description.Albion'sDarkspire:					Darkspire
Zone.ScreenDescription.Albion'sDarkspire:			Darkspire
Zone.Description.Hibernia'sDarkspire:				Darkspire
Zone.ScreenDescription.Hibernia'sDarkspire:			Darkspire
Zone.Description.Midgard'sDarkspire:				Darkspire
Zone.ScreenDescription.Midgard'sDarkspire:			Darkspire
Zone.Description.Deliah'sSanctuary:					Deliah's Sanctuary
Zone.ScreenDescription.Deliah'sSanctuary:			Deliah's Sanctuary
Zone.Description.DenofBones:						Den of Bones
Zone.ScreenDescription.DenofBones:					Den of Bones
Zone.Description.DepthsofDespair:					Depths of Despair
Zone.ScreenDescription.DepthsofDespair:				Depths of Despair
Zone.Description.DesecratedGrounds:					Desecrated Grounds
Zone.ScreenDescription.DesecratedGrounds:			Desecrated Grounds
Zone.Description.DismalGrotto:						Dismal Grotto
Zone.ScreenDescription.DismalGrotto:				Dismal Grotto
Zone.Description.Felena'sSorrow:					Felena's Sorrow
Zone.ScreenDescription.Felena'sSorrow:				Felena's Sorrow
Zone.Description.ForgesofFlame:						Forges of Flame
Zone.ScreenDescription.ForgesofFlame:				Forges of Flame
Zone.Description.ForgottenMines:					Forgotten Mines
Zone.ScreenDescription.ForgottenMines:				Forgotten Mines
Zone.Description.ForgottenSepulchre:				Forgotten Sepulchre
Zone.ScreenDescription.ForgottenSepulchre:			Forgotten Sepulchre
Zone.Description.Albion'sFrontlines:				Frontlines
Zone.ScreenDescription.Albion'sFrontlines:			Frontlines
Zone.Description.Hibernia'sFrontlines:				Frontlines
Zone.ScreenDescription.Hibernia'sFrontlines:		Frontlines
Zone.Description.TheFrontlines:						Frontlines
Zone.ScreenDescription.TheFrontlines:				Frontlines
Zone.Description.Albion'sGlashtinForges:			Glashtin Forges
Zone.ScreenDescription.Albion'sGlashtinForges:		Glashtin Forges
Zone.Description.Hibernia'sGlashtinForge:			Glashtin Forge
Zone.ScreenDescription.Hibernia'sGlashtinForge:		Glashtin Forge
Zone.Description.Midgard'sGlashtinForges:			Glashtin Forges
Zone.ScreenDescription.Midgard'sGlashtinForges:		Glashtin Forges
Zone.Description.Goblin'sCookery:					Goblin's Cookery
Zone.ScreenDescription.Goblin'sCookery:				Goblin's Cookery
Zone.Description.HalfOrcCommandPost:				Half Orc Command Post
Zone.ScreenDescription.HalfOrcCommandPost:			Half Orc Command Post
Zone.Description.HammerHugak'sSmithy:				Hammer Hugak's Smithy
Zone.ScreenDescription.HammerHugak'sSmithy:			Hammer Hugak's Smithy
Zone.Description.InconnuCrypt:						Inconnu Crypt
Zone.ScreenDescription.InconnuCrypt:				Inconnu Crypt
Zone.Description.InnerSanctum:						Inner Sanctum
Zone.ScreenDescription.InnerSanctum:				Inner Sanctum
Zone.Description.Jarlsberg'sHideout:				Jarlsberg's Hideout
Zone.ScreenDescription.Jarlsberg'sHideout:			Jarlsberg's Hideout
Zone.Description.KoboldUndercity:					Kobold Undercity
Zone.ScreenDescription.KoboldUndercity:				Kobold Undercity
Zone.Description.LairofDoom:						Lair of Doom
Zone.ScreenDescription.LairofDoom:					Lair of Doom
Zone.Description.LairoftheExiled:					Lair of the Exiled
Zone.ScreenDescription.LairoftheExiled:				Lair of the Exiled
Zone.Description.Lich'esUnrest:						Liche's Unrest
Zone.ScreenDescription.Liche'sUnrest:				Liche's Unrest
Zone.Description.Lios'sEternalRest:					Lios's Eternal Rest
Zone.ScreenDescription.Lios'sEternalRest:			Lios's Eternal Rest
Zone.Description.LostPassages:						Lost Passages
Zone.ScreenDescription.LostPassages:				Lost Passages
Zone.Description.LowerCrypt:						Lower Crypt
Zone.ScreenDescription.LowerCrypt:					Lower Crypt
Zone.Description.Marik'sWorkroom:					Marik's Workroom
Zone.ScreenDescription.Marik'sWorkroom:				Marik's Workroom
Zone.Description.MazeofMadness:						Maze of Madness
Zone.ScreenDescription.MazeofMadness:				Maze of Madness
Zone.Description.MazeofTribulation:					Maze of Tribulation
Zone.ScreenDescription.MazeofTribulation:			Maze of Tribulation
Zone.Description.Nisse'sRetreat:					Nisse's Retreat
Zone.ScreenDescription.Nisse'sRetreat:				Nisse's Retreat
Zone.Description.Nyttheim:							Nyttheim
Zone.ScreenDescription.Nyttheim:					Nyttheim
Zone.Description.Albion'sOtherworld:				Otherworld
Zone.ScreenDescription.Albion'sOtherworld:			Otherworld
Zone.Description.TheOtherworld:						Otherworld
Zone.ScreenDescription.TheOtherworld:				Otherworld
Zone.Description.Midgard'sOtherworld:				Otherworld
Zone.ScreenDescription.Midgard'sOtherworld:			Otherworld
Zone.Description.theRealmoftheDamned:				Realm of the Damned
Zone.ScreenDescription.theRealmoftheDamned:			Realm of the Damned
Zone.Description.RebelHalfOrcLair:					Rebel Half Orc Lair
Zone.ScreenDescription.RebelHalfOrcLair:			Rebel Half Orc Lair
Zone.Description.RiseoftheSpraggons:				Rise of the Spraggons
Zone.ScreenDescription.RiseoftheSpraggons:			Rise of the Spraggons
Zone.Description.RomanAqueducts:					Roman Aqueducts
Zone.ScreenDescription.RomanAqueducts:				Roman Aqueducts
Zone.Description.Rugnog'sHaven:						Rugnog's Haven
Zone.ScreenDescription.Rugnog'sHaven:				Rugnog's Haven
Zone.Description.Serf'sFolly:						Serf's Folly
Zone.ScreenDescription.Serf'sFolly:					Serf's Folly
Zone.Description.ShaftsoftheTenebrae:				Shafts of the Tenebrae
Zone.ScreenDescription.ShaftsoftheTenebrae:			Shafts of the Tenebrae
Zone.Description.SharLabyrinth:						Shar Labyrinth
Zone.ScreenDescription.SharLabyrinth:				Shar Labyrinth
Zone.Description.Snarg'sGrotto:						Snarg's Grotto
Zone.ScreenDescription.Snarg'sGrotto:				Snarg's Grotto
Zone.Description.Snyblem'sLair:						Snyblem's Lair
Zone.ScreenDescription.Snyblem'sLair:				Snyblem's Lair
Zone.Description.TheAccursedCaves:					The Accursed Caves
Zone.ScreenDescription.TheAccursedCaves:			The Accursed Caves
Zone.Description.TheAncient'sRetreat:				The Ancient's Retreat
Zone.ScreenDescription.TheAncient'sRetreat:			The Ancient's Retreat
Zone.Description.TheArena:							The Arena
Zone.ScreenDescription.TheArena:					The Arena
Zone.Description.TheBeastmaster'sDen:				The Beastmaster's Den
Zone.ScreenDescription.TheBeastmaster'sDen:			The Beastmaster's Den
Zone.Description.TheBetrayer'sDen:					The Betrayer's Den
Zone.ScreenDescription.TheBetrayer'sDen:			The Betrayer's Den
Zone.Description.TheBrawler'sDen:					The Brawler's Den
Zone.ScreenDescription.TheBrawler'sDen:				The Brawler's Den
Zone.Description.TheBurrow:							The Burrow
Zone.ScreenDescription.TheBurrow:					The Burrow
Zone.Description.TheCursedBarrow:					The Cursed Barrow
Zone.ScreenDescription.TheCursedBarrow:				The Cursed Barrow
Zone.Description.TheCursedLair:						The Cursed Lair
Zone.ScreenDescription.TheCursedLair:				The Cursed Lair
Zone.Description.TheDeadlandsofAnnwn:				The Deadlands of Annwn
Zone.ScreenDescription.TheDeadlandsofAnnwn:			The Deadlands of Annwn
Zone.Description.Hibernia'sDeadlands:				The Deadlands of Annwn
Zone.ScreenDescription.Hibernia'sDeadlands:			The Deadlands of Annwn
Zone.Description.Midgard'sDeadlands:				The Deadlands of Annwn
Zone.ScreenDescription.Midgard'sDeadlands:			The Deadlands of Annwn
Zone.Description.theDeep:							the Deep
Zone.ScreenDescription.theDeep:						the Deep
Zone.Description.TheForgottenVein:					The Forgotten Vein
Zone.ScreenDescription.TheForgottenVein:			The Forgotten Vein
Zone.Description.TheFuneraryHall:					The Funerary Hall
Zone.ScreenDescription.TheFuneraryHall:				The Funerary Hall
Zone.Description.TheFuneraryHall:					The Funerary Hall
Zone.ScreenDescription.TheFuneraryHall:				The Funerary Hall
Zone.Description.theGnollsDen:						the Gnoll's Den
Zone.ScreenDescription.theGnollsDen:				the Gnoll's Den
Zone.Description.theGoblinWorkshop:					the Goblin Workshop
Zone.ScreenDescription.theGoblinWorkshop:			the Goblin Workshop
Zone.Description.TheGossamerGrotto:					The Gossamer Grotto
Zone.ScreenDescription.TheGossamerGrotto:			The Gossamer Grotto
Zone.Description.TheHallofReawakening:				The Hall of Reawakening
Zone.ScreenDescription.TheHallofReawakening:		The Hall of Reawakening
Zone.Description.TheHauntedHalls:					The Haunted Halls
Zone.ScreenDescription.TheHauntedHalls:				The Haunted Halls
Zone.Description.TheHiddenCrypt:					The Hidden Crypt
Zone.ScreenDescription.TheHiddenCrypt:				The Hidden Crypt
Zone.Description.TheLostBurrow:						The Lost Burrow
Zone.ScreenDescription.TheLostBurrow:				The Lost Burrow
Zone.Description.TheLostWing:						The Lost Wing
Zone.ScreenDescription.TheLostWing:					The Lost Wing
Zone.Description.TheMaster'sLair:					The Master's Lair
Zone.ScreenDescription.TheMaster'sLair:				The Master's Lair
Zone.Description.ThePitofDespair:					The Pit of Despair
Zone.ScreenDescription.ThePitofDespair:				The Pit of Despair
Zone.Description.thePlutonianShore:					the Plutonian Shore
Zone.ScreenDescription.thePlutonianShore:			the Plutonian Shore
Zone.Description.TheQueen'sLabyrinth:				The Queen's Labyrinth
Zone.ScreenDescription.TheQueen'sLabyrinth:			The Queen's Labyrinth
Zone.Description.TheRitualHall:						The Ritual Hall
Zone.ScreenDescription.TheRitualHall:				The Ritual Hall
Zone.Description.TheShaman'sInnerSanctum:			The Shaman's Inner Sanctum
Zone.ScreenDescription.TheShaman'sInnerSanctum:		The Shaman's Inner Sanctum
Zone.Description.theShatteredLands:					the Shattered Lands
Zone.ScreenDescription.theShatteredLands:			the Shattered Lands
Zone.Description.TheSmeltingPot:					The Smelting Pot
Zone.ScreenDescription.TheSmeltingPot:				The Smelting Pot
Zone.Description.TheSteward'sCrypt:					The Steward's Crypt
Zone.ScreenDescription.TheSteward'sCrypt:			The Steward's Crypt
Zone.Description.theSunderedTombs:					the Sundered Tombs
Zone.ScreenDescription.theSunderedTombs:			the Sundered Tombs
Zone.Description.TheWarrens:						The Warrens
Zone.ScreenDescription.TheWarrens:					The Warrens
Zone.Description.ThievesDen:						Thieves Den
Zone.ScreenDescription.ThievesDen:					Thieves Den
Zone.Description.TomtePrison:						Tomte Prison
Zone.ScreenDescription.TomtePrison:					Tomte Prison
Zone.Description.Albion'sUndergroundForest:			Underground Forest
Zone.ScreenDescription.Albion'sUndergroundForest:	Underground Forest
Zone.Description.Hibernia'sUndergroundForest:		Underground Forest
Zone.ScreenDescription.Hibernia'sUndergroundForest:	Underground Forest
Zone.Description.Midgard'sUndergroundForest:		Underground Forest
Zone.ScreenDescription.Midgard'sUndergroundForest:	Underground Forest
Zone.Description.UndergroundTunnel:					Underground Tunnel
Zone.ScreenDescription.UndergroundTunnel:			Underground Tunnel
Zone.Description.UnrestfulTomb:						Unrestful Tomb
Zone.ScreenDescription.UnrestfulTomb:				Unrestful Tomb
Zone.Description.UnusedMine:						Unused Mines
Zone.ScreenDescription.UnusedMine:					Unused Mines
Zone.Description.VeilRift:							Veil Rift
Zone.ScreenDescription.VeilRift:					Veil Rift
Zone.Description.Wolak'sCrucible:					Wolak's Crucible
Zone.ScreenDescription.Wolak'sCrucible:				Wolak's Crucible

### Darkness Rising
Zone.Description.Anataeus'Sanctuary:				Anataeus' Sanctuary
Zone.ScreenDescription.Anataeus'Sanctuary:			Anataeus' Sanctuary
Zone.Description.BrimstoneCaverns:					Brimstone Caverns
Zone.ScreenDescription.BrimstoneCaverns:			Brimstone Caverns
Zone.Description.CaveofCruachan:					Cave of Cruachan
Zone.ScreenDescription.CaveofCruachan:				Cave of Cruachan
Zone.Description.DemonicPrison:						Demonic Prison
Zone.ScreenDescription.DemonicPrison:				Demonic Prison
Zone.Description.HallsofHelgardh:					Halls of Helgardh
Zone.ScreenDescription.HallsofHelgardh:				Halls of Helgardh
Zone.Description.KeeperGarran'sSanctuary:			Keeper Garran's Sanctuary
Zone.ScreenDescription.KeeperGarran'sSanctuary:		Keeper Garran's Sanctuary
Zone.Description.KeeperIraeda'sSanctuary:			Keeper Iraeda's Sanctuary
Zone.ScreenDescription.KeeperIraeda'sSanctuary:		Keeper Iraeda's Sanctuary
Zone.Description.KingConstantine'sThroneRoom:		King Constantine's Throne Room
Zone.ScreenDescription.KingConstantine'sThroneRoom:	King Constantine's Throne Room
Zone.Description.KingEirik'sThroneRoom:				King Eirik's Throne Room
Zone.ScreenDescription.KingEirik'sThroneRoom:		King Eirik's Throne Room
